id,name,online_order,book_table,rating,votes,location,rest_type,dish_liked,cuisines,approx_cost,type
14150,,No,No,4,910,Bannerghatta Road,Quick Bites,"Nachos, Tacos, Burrito, Mexican Pizza, Cheesy Fiesta Potato, Fries, Rice Bowl","Mexican, American, Fast Food",600,Dine-out
14151,,Yes,No,3.6,11,JP Nagar,Quick Bites,,"Rajasthani, North Indian",200,Dine-out
14152,,Yes,No,3.6,17,Bannerghatta Road,Dessert Parlor,,"Desserts, Cafe, Beverages",900,Dine-out
14153,,Yes,No,3.5,7,Banashankari,Quick Bites,,"South Indian, North Indian",500,Dine-out
14154,,Yes,No,3.9,547,Basavanagudi,Casual Dining,"Rolls, Roti, Shawarma, Butter Chicken, Mutton Biryani, Paneer Biryani, Lahori Chicken","North Indian, Kebab, Biryani, Chinese",700,Dine-out
14155,,Yes,No,3.2,4,JP Nagar,Kiosk,,"Chinese, Tibetan, Fast Food",200,Dine-out
14156,,No,No,3,50,Bannerghatta Road,Food Court,"Noodles, Momos, Chicken Noodle",Chinese,400,Dine-out
14157,,Yes,No,3.4,4,Bannerghatta Road,Quick Bites,,"South Indian, Kerala, Biryani",400,Dine-out
14158,,Yes,No,3.9,313,JP Nagar,Quick Bites,"Rolls, Chicken Roll, Chicken Wrap, Veggie Wrap, Raita, Cheesy Chicken, Sabudana Kheer","North Indian, Biryani, Fast Food",500,Dine-out
14159,,Yes,No,3.5,61,JP Nagar,Quick Bites,,Pizza,500,Dine-out
14160,,No,No,3.6,13,Bannerghatta Road,Quick Bites,,"South Indian, North Indian, Chinese",300,Dine-out
14161,,No,No,4.1,150,JP Nagar,Quick Bites,"Sabudana Vada, Akki Rottis, Vegetable Biryani, Coffee, Bhel Puri, Vada Pav, Buttermilk","Fast Food, North Indian, Continental",400,
14162,,No,No,2.9,84,BTM,Casual Dining,"Shawarma, Biryani Combo, Chicken Grill","North Indian, Biryani, Chinese",500,Dine-out
14163,,Yes,No,3.6,130,Banashankari,Casual Dining,"Sea Food, Neer Dosa","Mangalorean, Seafood, North Indian",600,
14164,,Yes,No,3.8,616,BTM,Cafe,"Pasta, Sandwiches, Peppy Paneer Pizza, Sandwich, Thick Shakes, Onion Rings, Tomato Soup","Cafe, Italian, Mexican, Chinese",600,Dine-out
14165,,Yes,No,3.3,395,Koramangala 7th Block,Quick Bites,"Fish Thali, Aloo Paratha",North Indian,400,Dine-out
14166,,No,No,4,38,JP Nagar,Quick Bites,,South Indian,200,Dine-out
14167,,No,No,3.5,17,BTM,Quick Bites,,"North Indian, Chinese",200,Dine-out
14168,,Yes,No,3,61,BTM,Cafe,"Coffee, Sandwiches, Cappuccino",Cafe,650,Dine-out
14169,,Yes,No,3.5,42,BTM,Cafe,"Fries, Pasta, Sandwich, Burgers, Chicken Burger, Monster Burger","Cafe, Continental, Fast Food",600,Dine-out
14170,,Yes,No,4.2,289,Bannerghatta Road,Quick Bites,"Burgers, Chicken Popcorn, Peri Peri Chicken, Wings, Peri Peri Burger, Fries, Crunchy Veg Burger","American, Burger, Fast Food",400,Dine-out
14171,,Yes,No,3.3,34,Bannerghatta Road,Quick Bites,,"Rolls, Chinese",300,Dine-out
14172,,Yes,No,3.7,15,BTM,Quick Bites,,"Fast Food, North Indian",400,Dine-out
14173,,No,No,3.5,177,JP Nagar,Casual Dining,"Chaat, Custard, Fish, Pepper Chicken, Lunch Buffet, Chicken Tikka, Salads","North Indian, Chinese, Continental",950,
14174,,Yes,No,3.9,154,JP Nagar,Food Court,"Brownie, Coffee, Hot Chocolate, Garlic Pops, Chocolate Waffles, Chocolate Avalanche","Cafe, Desserts",400,Dine-out
14175,,Yes,No,3.9,15,JP Nagar,Quick Bites,,"North Indian, South Indian, Chinese",500,Dine-out
14176,,Yes,No,3.7,11,Bannerghatta Road,Quick Bites,,Continental,300,Dine-out
14177,,Yes,No,2.8,137,BTM,Quick Bites,"Kachori, Indori Poha, Cheese Paratha, Paneer Parantha, Thali, Poha Jalebi","North Indian, Street Food",300,Dine-out
14178,,Yes,No,3.4,11,Basavanagudi,Bar,,"North Indian, Seafood, Chinese",800,Dine-out
14179,,Yes,No,3.6,96,JP Nagar,Casual Dining,,"Biryani, North Indian, Chinese",600,Dine-out
14180,,Yes,No,2.6,18,JP Nagar,Cafe,,Cafe,500,Dine-out
